"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 02 19:26:22 EEST 2023","Sun Jul 02 19:26:22 EEST 2023","312","","","","","","Invalid login -- @1.2 ",""
"failed","Sun Jul 02 19:26:21 EEST 2023","Sun Jul 02 19:26:22 EEST 2023","376","","","","","","Invalid login -- @1.1 ",""
"failed","Sun Jul 02 19:26:21 EEST 2023","Sun Jul 02 19:26:21 EEST 2023","387","","","","","","Login with valid parameters -- @1.2 ",""
"passed","Sun Jul 02 19:26:23 EEST 2023","Sun Jul 02 19:26:23 EEST 2023","301","","","","","","Invalid login -- @1.6 ",""
"failed","Sun Jul 02 19:26:24 EEST 2023","Sun Jul 02 19:26:25 EEST 2023","551","","","","","","Invalid login -- @1.9 ",""
"passed","Sun Jul 02 19:26:22 EEST 2023","Sun Jul 02 19:26:23 EEST 2023","405","","","","","","Invalid login -- @1.4 ",""
"passed","Sun Jul 02 19:26:21 EEST 2023","Sun Jul 02 19:26:21 EEST 2023","317","","","","","","Login with valid parameters -- @1.1 ",""
"failed","Sun Jul 02 19:26:23 EEST 2023","Sun Jul 02 19:26:24 EEST 2023","309","","","","","","Invalid login -- @1.7 ",""
"failed","Sun Jul 02 19:26:23 EEST 2023","Sun Jul 02 19:26:23 EEST 2023","402","","","","","","Invalid login -- @1.5 ",""
"passed","Sun Jul 02 19:26:24 EEST 2023","Sun Jul 02 19:26:24 EEST 2023","270","","","","","","Invalid login -- @1.8 ",""
"failed","Sun Jul 02 19:26:22 EEST 2023","Sun Jul 02 19:26:22 EEST 2023","370","","","","","","Invalid login -- @1.3 ",""
